,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,pid
0,2011-09-04,FLA,PHI,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
1,2011-08-31,FLA,@NYM,9,PR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
2,2011-08-29,FLA,@NYM,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
3,2011-08-24,FLA,CIN,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
4,2011-08-24,FLA,CIN,3,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
5,2011-08-21,FLA,@SDP,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
6,2011-08-20,FLA,@SDP,3,LF,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0
7,2011-08-19,FLA,@SDP,8,LF-2B,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,1.0
8,2011-08-18,FLA,@SDP,3,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
9,2011-08-17,FLA,@COL,7,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
10,2011-08-16,FLA,@COL,8,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
11,2011-08-15,FLA,@COL,8,2B,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
12,2011-08-14,FLA,SFG,2,2B,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,1.0
13,2011-08-13,FLA,SFG,2,2B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.0
14,2011-08-12,FLA,SFG,2,2B,1,4,4,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.25,1.0
15,2011-08-10,FLA,ATL,2,2B,1,4,4,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.0,0.0,1.0
16,2011-08-09,FLA,ATL,2,2B,1,3,5,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.0,0.0,1.0
17,2011-08-08,FLA,ATL,2,2B,1,4,5,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.25,1.0
18,2011-08-07,FLA,STL,2,2B,1,5,5,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.4,1.0
20,2011-08-06,FLA,STL,2,2B,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.25,1.0
21,2011-05-28,COL,STL,4,3B,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,1.0
22,2011-05-27,COL,STL,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
23,2011-05-25,COL,ARI,8,SS,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.33299999999999996,1.0
24,2011-05-24,COL,ARI,1,2B,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.0
25,2011-05-24,COL,ARI,9,PH,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0
26,2011-05-22,COL,@MIL,1,2B,1,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,1.0
27,2011-05-21,COL,@MIL,9,3B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
28,2011-05-20,COL,@MIL,4,SS,1,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.5,1.0
29,2011-05-18,COL,@PHI,2,2B,1,2,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.0,1.0
30,2011-05-17,COL,SFG,9,PH,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,1.0
31,2011-05-16,COL,SFG,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,1.0
32,2011-05-14,COL,SDP,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
33,2011-05-12,COL,NYM,9,PH,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,1.0,1.0
34,2011-05-10,COL,NYM,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
35,2011-05-08,COL,@SFG,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
36,2011-05-07,COL,@SFG,2,2B,1,4,4,2,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0.0,0.5,1.0
37,2011-05-06,COL,@SFG,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
38,2011-05-04,COL,@ARI,9,RF,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0
39,2011-05-01,COL,PIT,2,2B,1,4,5,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0.25,1.0
40,2011-04-29,COL,PIT,9,RF,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0
0,2010-08-06,LAD,WSN,9,PH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0
