,Age,Bats/Throws,Height/Weight,Birthdate,Name,POS,pid
0,Age: 41,Bats/Throws: B/R,"5' 11"" / 165","1/16/1978 (41 y, 4 m, 5 d)",Alfredo Amezaga,OF,1.0
1,Age: 46,Bats/Throws: L/L,"6' 3"" / 225","6/30/1972 (46 y, 10 m, 21 d)",Garret Anderson,OF,2.0
2,Age: 51,Bats/Throws: R/R,"6' 2"" / 220","12/6/1967 (51 y, 5 m, 15 d)",Kevin Appier,P,3.0
3,Age: 44,Bats/Throws: L/L,"6' 1"" / 195","7/23/1974 (44 y, 9 m, 28 d)",Larry Barnes,1B,4.0
4,Age: 39,Bats/Throws: R/R,"6' 6"" / 230","6/20/1979 (39 y, 11 m, 1 d)",Scott Patterson,P,5.0
5,Age: 47,Bats/Throws: R/R,"6' 0"" / 225","9/24/1971 (47 y, 7 m, 27 d)",Jamie Burke,C,6.0
6,Age: 44,Bats/Throws: R/R,"6' 2"" / 215","5/13/1975 (44 y, 8 d)",Mickey Callaway,P,7.0
7,Age: 56,Bats/Throws: L/L,"6' 3"" / 190","10/4/1962 (56 y, 7 m, 17 d)",Dennis Cook,P,8.0
8,Age: 44,Bats/Throws: R/R,"5' 7"" / 177","1/20/1975 (44 y, 4 m, 1 d)",David Eckstein,SS,10.0
9,Age: 44,Bats/Throws: L/L,"6' 2"" / 220","6/4/1974 (44 y, 11 m, 17 d)",Darin Erstad,1B/OF,11.0
10,Age: 49,Bats/Throws: L/R,"6' 3"" / 220","3/13/1970 (49 y, 2 m, 8 d)",Jorge Fabregas,C,12.0
11,Age: 44,Bats/Throws: L/R,"6' 0"" / 220","1/17/1975 (44 y, 4 m, 4 d)",Brad Fullmer,1B/DH,13.0
12,Age: 46,Bats/Throws: R/R,"6' 2"" / 210","10/6/1972 (46 y, 7 m, 15 d)",Benji Gil,SS,14.0
13,Age: 42,Bats/Throws: R/R,"6' 5"" / 240","8/3/1976 (42 y, 9 m, 18 d)",Troy Glaus,3B,15.0
14,Age: 39,Bats/Throws: L/L,"5' 9"" / 170","9/7/1979 (39 y, 8 m, 14 d)",Nathan Haynes,OF,17.0
15,Age: 31,Bats/Throws: R/R,"6' 3"" / 235","5/2/1988 (31 y, 19 d)",Neftali Feliz,P,18.0
16,Age: 43,Bats/Throws: L/R,"6' 1"" / 195","1/10/1976 (43 y, 4 m, 11 d)",Adam Kennedy,2B,19.0
